
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:44:37   40    0   1949    1936   -13
14:44:38   40    0   1949    1936   -13
14:44:39   40    0   1949    1936   -13
14:44:40   40    0   1949    1936   -13
14:44:41   40    0   1949    1936   -13
14:44:42   40    0   1949    1936   -13
14:44:43   40    0   1949    1936   -13
14:44:44   40    0   1949    1936   -13
14:44:45   40    0   1949    1936   -13
14:44:46   40    0   1949    1936   -13
14:44:47   40    0   1949    1936   -13
14:44:48   40    0   1949    1936   -13
14:44:49   40    0   1949    1936   -13
14:44:50   40    0   1949    1936   -13
14:44:51   40    0   1949    1936   -13
14:44:52   40    0   1949    1936   -13
14:44:53   40    0   1949    1936   -13
14:44:54   40    0   1949    1936   -13
14:44:55   40    0   1949    1936   -13
14:44:56   40    0   1949    1936   -13
14:44:57   40    0   1949    1936   -13
14:44:58   40    0   1949    1936   -13
14:44:59   40    0   1949    1936   -13
14:45:00   40    0   1949    1936   -13
14:45:01   40    0   1949    1936   -13
14:45:02   40    0   1949    1936   -13
14:45:03   40    0   1949    1936   -13
14:45:04   40    0   1949    1936   -13
14:45:05   40    0   1949    1936   -13
14:45:06   40    0   1949    1936   -13
14:45:07   40    0   1949    1936   -13
14:45:08   40    0   1949    1936   -13
14:45:09   40    0   1949    1936   -13
14:45:10   40    0   1949    1936   -13
14:45:11   40    0   1949    1936   -13
14:45:12   40    0   1949    1936   -13
14:45:13   40    0   1949    1936   -13
14:45:14   40    0   1949    1936   -13
14:45:15   40    0   1949    1936   -13
14:45:16   40    0   1949    1936   -13
14:45:17   40    0   1949    1936   -13
14:45:18   40    0   1949    1936   -13
14:45:19   40    0   1949    1936   -13
14:45:20   40    0   1949    1936   -13
14:45:21   40    0   1949    1936   -13
14:45:22   40    0   1949    1936   -13
14:45:23   40    0   1949    1936   -13
14:45:24   40    0   1949    1936   -13
14:45:25   40    0   1949    1936   -13
14:45:26   40    0   1949    1936   -13
14:45:27   40    0   1949    1936   -13
14:45:28   40    0   1949    1936   -13
14:45:29   40    0   1949    1936   -13
14:45:30   40    0   1949    1936   -13
14:45:31   40    0   1949    1936   -13
14:45:32   40    0   1949    1936   -13
14:45:33   40    0   1949    1936   -13
14:45:34   40    0   1949    1936   -13
14:45:35   40    0   1949    1936   -13
14:45:36   40    0   1949    1936   -13
14:45:37   40    0   1949    1936   -13
14:45:38   40    0   1949    1936   -13
14:45:39   40    0   1949    1936   -13
14:45:40   40    0   1949    1936   -13
14:45:41   40    0   1949    1936   -13
14:45:42   40    0   1949    1936   -13
14:45:43   40    0   1949    1936   -13
14:45:44   40    0   1949    1936   -13
14:45:45   40    0   1949    1936   -13
14:45:46   40    0   1949    1936   -13
14:45:47   40    0   1949    1936   -13
14:45:48   40    0   1949    1936   -13
14:45:49   40    0   1949    1936   -13
14:45:50   40    0   1949    1936   -13
14:45:51   40    0   1949    1936   -13
14:45:52   40    0   1949    1936   -13
14:45:53   40    0   1949    1936   -13
14:45:54   40    0   1949    1936   -13
14:45:55   40    0   1949    1936   -13
14:45:56   40    0   1949    1936   -13
14:45:57   40    0   1949    1936   -13
14:45:58   40    0   1949    1936   -13
14:45:59   40    0   1949    1936   -13
14:46:00   40    0   1949    1936   -13
14:46:01   40    0   1949    1936   -13
14:46:02   40    0   1949    1936   -13
14:46:03   40    0   1949    1936   -13
14:46:04   40    0   1949    1936   -13
14:46:05   40    0   1949    1936   -13
14:46:06   40    0   1949    1936   -13
14:46:07   40    0   1949    1936   -13
14:46:08   40    0   1949    1936   -13
14:46:09   40    0   1949    1936   -13
14:46:10   40    0   1949    1936   -13
14:46:11   40    0   1949    1936   -13
14:46:12   40    0   1949    1936   -13
14:46:13   40    0   1949    1936   -13
14:46:14   40    0   1949    1936   -13
14:46:15   40    0   1949    1936   -13
